id,fire_location_latitude,fire_location_longitude,fire_year
561,56.836567,-117.4258,2014
562,55.909183,-116.9768,2014
563,52.971267,-115.571983,2014
564,52.676617,-115.3671,2014
565,56.941,-113.483633,2014
566,55.798,-116.32,2014
567,55.9615,-115.495667,2014
568,55.2965,-114.738167,2014
569,55.861,-113.43295,2014
570,55.688275,-115.097246,2014
571,55.189667,-114.6505,2014
572,55.191167,-114.614667,2014
573,55.89175,-115.649433,2014
574,55.338867,-116.787117,2014
575,55.248422,-115.395342,2014
576,56.685017,-115.67285,2014
577,55.2442,-115.40275,2014
578,55.290581,-116.263542,2014
579,55.243933,-114.084083,2014
580,55.54315,-114.0029,2014
581,55.9005,-115.626983,2014
582,55.251333,-114.895417,2014
583,54.099433,-115.57925,2014
584,54.407367,-114.70575,2014
585,54.0651,-115.36735,2014
586,54.504117,-114.3198,2014
587,54.753633,-114.915383,2014
588,54.424617,-117.016883,2014
589,50.8389,-114.637967,2013
590,51.63255,-115.10349,2013
591,51.152967,-114.856667,2013
592,53.828083,-116.471433,2013
593,53.523317,-115.411883,2013
594,53.599367,-116.510667,2013
595,53.56305,-115.96455,2013
596,53.157567,-115.332417,2013
597,53.57375,-116.574033,2013
598,54.017483,-119.219483,2013
599,55.02475,-116.916567,2013
600,54.831,-118.647917,2013
601,55.098567,-117.846533,2013
602,54.833783,-118.656,2013
603,54.384617,-118.7742,2013
604,54.519967,-117.60045,2013
605,55.054117,-117.5008,2013
606,55.570367,-118.827467,2013
607,55.052265,-119.012569,2013
608,58.428783,-115.828817,2013
609,58.470067,-114.4994,2013
610,58.470117,-114.49625,2013
611,58.400033,-115.954367,2013
612,58.446433,-116.628067,2013
613,58.450183,-114.923633,2013
614,59.053267,-117.729917,2013
615,58.54875,-114.670583,2013
616,55.917117,-110.736367,2013
617,54.50715,-110.303075,2013
618,54.646046,-111.917282,2013
619,55.903767,-110.752133,2013
620,55.924983,-110.734683,2013
621,54.917586,-112.123282,2013
622,55.939383,-110.7168,2013
623,55.917717,-110.733483,2013
624,55.92635,-110.7285,2013
625,55.9216,-110.735567,2013
626,55.915983,-110.740717,2013
627,55.928433,-110.731683,2013
628,55.928467,-110.731033,2013
629,54.566183,-110.62865,2013
630,55.943917,-110.713833,2013
631,55.033917,-112.910283,2013
632,54.46705,-111.19035,2013
633,54.96846,-113.34458,2013
634,55.903583,-110.751117,2013
635,55.185583,-112.512967,2013
636,55.528767,-110.57105,2013
637,55.601717,-112.608933,2013
638,54.634167,-110.098233,2013
639,55.94665,-110.8998,2013
640,55.93105,-110.168517,2013
641,56.475833,-111.206733,2013
642,56.648283,-111.44405,2013
643,56.4278,-111.308317,2013
644,56.38081,-111.288975,2013
645,56.673502,-110.825603,2013
646,56.737567,-111.498,2013
647,56.64045,-111.433633,2013
648,56.686267,-117.548533,2013
649,56.47195,-116.398467,2013
650,52.832342,-114.877394,2013
651,52.32205,-114.91775,2013
652,52.650283,-115.411333,2013
653,52.600083,-115.740633,2013
654,52.441483,-116.13165,2013
655,52.255233,-115.0351,2013
656,53.110867,-115.43015,2013
657,51.92155,-114.733283,2013
658,52.77955,-115.37665,2013
659,52.868817,-116.167967,2013
660,52.528583,-115.278583,2013
661,55.2327,-114.1605,2013
662,55.280333,-116.269167,2013
663,55.911683,-113.703717,2013
664,55.013483,-115.25101,2013
665,56.924217,-114.806667,2013
666,57.124883,-115.048233,2013
667,55.436967,-114.2045,2013
668,55.904967,-113.51385,2013
669,54.10315,-116.6143,2013
670,54.072417,-115.604867,2013
671,54.076933,-115.572883,2013
672,54.132567,-115.801467,2013
673,54.10345,-115.638683,2013
674,54.47095,-114.579733,2013
675,54.1281,-116.173867,2013
676,54.6134,-115.588867,2013
677,54.597267,-115.48265,2013
678,54.598622,-115.485487,2013
679,54.150733,-116.136,2013
680,51.161717,-114.861883,2012
681,51.164567,-114.870117,2012
682,51.451233,-114.678867,2012
683,51.279233,-115.142683,2012
684,51.403583,-115.0659,2012
685,50.881833,-115.3895,2012
686,53.535445,-116.50988,2012
687,53.1937,-115.3182,2012
688,54.78015,-119.65765,2012
689,55.75615,-119.364033,2012
690,55.031517,-118.5657,2012
691,55.044467,-118.52855,2012
692,54.739567,-117.185433,2012
693,54.800217,-119.10555,2012
694,55.23695,-118.2501,2012
695,54.4306,-118.263883,2012
696,54.94055,-118.826867,2012
697,54.823767,-119.417783,2012
698,54.935383,-118.808467,2012
699,58.510961,-115.13692,2012
700,58.464033,-114.485267,2012
701,58.467346,-114.495502,2012
702,58.46243,-114.416407,2012
703,58.467346,-114.551277,2012
704,58.710833,-118.692333,2012
705,58.705683,-118.695267,2012
706,58.70795,-118.697583,2012
707,58.712283,-118.703233,2012
708,58.710933,-118.7272,2012
709,58.467346,-114.48173,2012
710,58.520549,-115.131481,2012
711,58.70745,-118.699633,2012
712,58.4581,-114.557233,2012
713,58.706891,-118.682352,2012
714,58.816333,-118.725667,2012
715,58.480767,-114.519767,2012
716,58.524483,-118.91725,2012
717,58.462206,-114.55487,2012
718,58.573767,-116.769783,2012
719,58.496093,-119.344862,2012
720,57.92135,-116.925533,2012
721,59.120333,-117.66,2012
722,58.807918,-118.726767,2012
723,58.435967,-114.585683,2012
724,58.8103,-118.759583,2012
725,57.680883,-115.3443,2012
726,58.133501,-116.313128,2012
727,58.113544,-116.23369,2012
728,58.148233,-116.317033,2012
729,58.703617,-118.673033,2012
730,58.450671,-119.236755,2012
731,58.390733,-115.9171,2012
732,55.273683,-111.537367,2012
733,56.72705,-111.3809,2012
734,54.619933,-111.727883,2012
735,55.917133,-110.73675,2012
736,55.931817,-110.725767,2012
737,55.931533,-110.7286,2012
738,55.03485,-111.5396,2012
739,55.917462,-110.732993,2012
740,55.915233,-110.736183,2012
741,55.919817,-110.73445,2012
742,55.9169,-110.7384,2012
743,55.906667,-110.742983,2012
744,55.929333,-110.724167,2012
745,54.513033,-110.242433,2012
746,55.929867,-110.724633,2012
