fire_year,current_size,fire_location_latitude,fire_location_longitude,assessment_hectares,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,fire_origin_encoded,fire_type_encoded,general_cause_desc_encoded,weather_conditions_over_fire_encoded,temperature_encoded,relative_humidity_encoded,wind_speed_encoded,current_size_bin_encoded
2020,0.54,55.253583,-113.10405,0.3,1.0,16.0,46.0,16.0,0.4,4,2,9,3,0.6333333333333333,0.46,0.17777777777777778,0
2020,2.6,56.419033,-111.428635,1.5,2.0,19.3,24.0,3.0,2.0,4,2,9,2,0.6883333333333332,0.24,0.03333333333333333,0
2020,0.01,58.730934,-111.137718,0.01,0.0,14.0,42.0,7.0,0.01,4,1,9,2,0.6,0.42,0.07777777777777778,0
2020,0.65,56.525501,-117.65155,0.5,1.0,17.0,40.0,6.0,0.5,4,2,6,2,0.6499999999999999,0.4,0.06666666666666667,0
2020,0.07,56.747215,-117.204987,0.01,1.0,17.0,20.0,10.0,0.05,3,2,0,2,0.6499999999999999,0.2,0.11111111111111112,0
2020,0.14,55.967117,-116.731636,0.3,2.0,-2.0,36.0,0.0,0.14,4,2,9,2,0.3333333333333333,0.36,0.0,0
2020,0.01,56.421,-117.646083,0.01,0.0,23.0,50.0,10.0,0.01,3,2,0,3,0.75,0.5,0.11111111111111112,0
2020,0.01,57.730417,-117.23265,0.01,0.0,20.0,50.0,10.0,0.01,4,2,6,3,0.7,0.5,0.11111111111111112,0
2020,0.01,56.46735,-116.380683,0.01,0.0,20.0,65.0,5.0,0.01,1,2,10,3,0.7,0.65,0.05555555555555556,0
2020,0.01,56.532,-116.408167,0.1,0.0,22.0,46.0,25.0,0.01,4,2,6,2,0.7333333333333333,0.46,0.2777777777777778,0
2020,0.01,57.730317,-117.232517,0.01,0.0,13.0,46.0,10.0,0.01,4,1,6,3,0.5833333333333333,0.46,0.11111111111111112,0
2020,0.1,52.840782,-115.505867,0.1,0.0,16.0,55.0,0.0,0.1,1,2,10,2,0.6333333333333333,0.55,0.0,0
2020,0.1,53.060717,-115.156533,0.1,1.0,22.0,35.0,5.0,0.1,4,2,9,2,0.7333333333333333,0.35000000000000003,0.05555555555555556,0
2020,0.3,52.304417,-116.413033,0.1,2.0,18.0,32.0,25.0,0.2,4,2,9,2,0.6666666666666666,0.32,0.2777777777777778,0
2020,0.01,52.42852,-114.914695,0.01,0.0,18.0,20.0,0.0,0.01,4,2,10,2,0.6666666666666666,0.2,0.0,0
2020,0.01,55.964867,-113.825066,0.01,1.0,21.0,14.0,5.0,0.01,3,1,10,3,0.7166666666666666,0.14,0.05555555555555556,0
2020,0.01,55.501355,-116.671543,0.01,0.0,15.0,48.0,35.0,0.01,4,2,6,2,0.6166666666666667,0.48,0.3888888888888889,0
2020,0.85,54.276981,-114.926231,0.7,2.0,11.0,40.0,5.0,0.8,4,2,9,2,0.5499999999999999,0.4,0.05555555555555556,0
2020,0.15,54.142918,-115.736702,0.2,2.0,20.0,25.0,8.0,0.2,4,2,8,2,0.7,0.25,0.08888888888888889,0
2019,1.0,51.212,-114.953317,0.01,0.1,23.0,30.0,5.0,1.0,3,2,9,2,0.75,0.3,0.05555555555555556,0
2019,0.01,51.255033,-114.764717,0.01,0.0,13.0,45.0,15.0,0.01,3,1,10,0,0.5833333333333333,0.45,0.16666666666666669,0
2019,0.01,51.090527,-115.097222,0.01,0.0,9.0,95.0,0.0,0.01,4,2,9,4,0.5166666666666666,0.9500000000000001,0.0,0
2019,0.33,53.813617,-116.460283,0.1,1.0,14.0,55.0,25.0,0.1,4,2,9,2,0.6,0.55,0.2777777777777778,0
2019,0.01,54.75835,-117.21265,0.01,0.0,6.8,56.0,7.0,0.01,4,1,6,3,0.48,0.56,0.07777777777777778,0
2019,0.4,55.888717,-119.665867,0.3,2.0,20.0,22.0,16.0,0.3,3,1,0,3,0.7,0.22,0.17777777777777778,0
2019,0.16,55.13615,-117.77065,0.1,1.0,13.0,36.0,16.0,0.12,4,1,6,3,0.5833333333333333,0.36,0.17777777777777778,0
2019,0.01,58.465383,-114.532333,0.01,0.5,8.0,44.0,7.0,0.01,1,2,10,2,0.5,0.44,0.07777777777777778,0
2019,0.38,58.226517,-116.500967,2.0,2.0,21.0,20.0,4.0,0.37,4,2,0,3,0.7166666666666666,0.2,0.044444444444444446,0
2019,0.01,58.106833,-116.430167,0.01,0.0,11.1,27.0,5.0,0.01,4,2,10,0,0.5516666666666666,0.27,0.05555555555555556,0
2019,0.1,58.033617,-116.293883,0.1,0.0,23.0,19.0,16.0,0.1,4,1,6,2,0.75,0.19,0.17777777777777778,0
2019,0.01,58.425537,-114.589838,0.01,0.5,21.7,19.0,9.0,0.2,1,2,10,2,0.7283333333333333,0.19,0.1,0
2019,0.08,58.466283,-118.841533,0.1,1.0,26.0,12.0,7.0,0.06,4,2,6,2,0.8,0.12,0.07777777777777778,0
2019,0.01,58.525533,-115.154,0.01,0.0,18.0,27.0,10.0,0.01,1,1,6,2,0.6666666666666666,0.27,0.11111111111111112,0
2019,4.8,58.57685,-118.799417,5.0,5.0,26.0,25.0,5.0,5.0,4,0,4,2,0.8,0.25,0.05555555555555556,1
2019,0.01,58.370767,-116.041033,0.01,0.0,17.0,85.0,3.0,0.01,4,2,6,4,0.6499999999999999,0.85,0.03333333333333333,0
2019,0.99,58.63,-118.345467,1.0,0.0,13.0,65.0,4.0,1.1,4,2,9,3,0.5833333333333333,0.65,0.044444444444444446,0
2019,0.1,54.506467,-111.348,0.1,0.0,16.0,22.0,19.0,0.01,4,2,0,2,0.6333333333333333,0.22,0.2111111111111111,0
2019,7.2,54.6256,-111.852767,4.0,0.0,6.0,29.0,5.0,4.0,1,2,9,3,0.4666666666666667,0.29,0.05555555555555556,1
2019,6.5,55.133767,-112.55685,2.0,3.0,20.0,29.0,14.0,2.0,3,2,0,3,0.7,0.29,0.15555555555555556,1
2019,0.01,55.9428,-110.7133,0.01,0.0,10.0,82.0,32.0,0.01,1,2,10,2,0.5333333333333333,0.8200000000000001,0.35555555555555557,0
2019,0.01,54.514367,-110.392817,0.01,0.0,22.0,24.0,3.0,0.01,3,1,10,2,0.7333333333333333,0.24,0.03333333333333333,0
2019,20.6,54.839398,-111.557851,0.01,5.0,18.0,27.0,25.0,0.25,4,2,9,2,0.6666666666666666,0.27,0.2777777777777778,5
2019,1.35,54.54502,-110.304578,0.5,2.0,21.0,29.0,5.0,1.3,3,2,10,2,0.7166666666666666,0.29,0.05555555555555556,0
